ENSG00000198799.11
ENSG00000162735.18
ENSG00000169504.14
ENSG00000225159.1
ENSG00000070759.16
ENSG00000187889.12
ENSG00000237135.1
ENSG00000151364.16
ENSG00000184293.7
ENSG00000166986.14
ENSG00000258708.1
ENSG00000156411.9
ENSG00000184601.10
ENSG00000183571.10
ENSG00000140688.16
ENSG00000198373.12
ENSG00000265511.1
ENSG00000279431.1
ENSG00000264242.2
ENSG00000266733.5
ENSG00000153933.9
ENSG00000154080.13
ENSG00000154845.15
ENSG00000255112.2
ENSG00000168497.4
ENSG00000205795.4
ENSG00000125898.12
ENSG00000100994.11
ENSG00000274248.1
ENSG00000239713.8
ENSG00000237476.1
ENSG00000114812.12
ENSG00000225399.4
ENSG00000114107.8
ENSG00000174227.15
ENSG00000164037.16
ENSG00000113300.11
ENSG00000112977.15
ENSG00000131507.10
ENSG00000183072.9
ENSG00000029639.10
ENSG00000181524.6
ENSG00000239650.4
ENSG00000225793.2
ENSG00000105849.5
ENSG00000237004.3
ENSG00000137040.9
