ENSG00000228076.2
ENSG00000265141.2
ENSG00000235942.2
ENSG00000180221.6
ENSG00000213731.2
ENSG00000255276.1
ENSG00000227892.1
ENSG00000241008.1
ENSG00000183303.2
ENSG00000237774.3
ENSG00000224451.2
ENSG00000278496.1
ENSG00000259513.1
ENSG00000259926.1
ENSG00000239886.5
ENSG00000212659.1
ENSG00000229351.1
ENSG00000180386.7
ENSG00000237888.1
ENSG00000224323.2
ENSG00000232970.1
ENSG00000187766.1
ENSG00000221837.5
ENSG00000221859.2
ENSG00000243489.4
ENSG00000205439.10
ENSG00000249222.1
ENSG00000240964.3
ENSG00000234458.4
ENSG00000249302.2
ENSG00000270751.1
ENSG00000264391.2
ENSG00000235945.1
