ENSG00000121454.5
ENSG00000162852.13
ENSG00000162643.12
ENSG00000150593.17
ENSG00000118137.9
ENSG00000167311.13
ENSG00000176148.15
ENSG00000174804.3
ENSG00000089053.12
ENSG00000090612.20
ENSG00000166111.9
ENSG00000232489.1
ENSG00000139971.15
ENSG00000176438.12
ENSG00000259658.4
ENSG00000065057.7
ENSG00000260769.1
ENSG00000234327.7
ENSG00000159199.13
ENSG00000118156.12
ENSG00000225449.3
ENSG00000230753.5
ENSG00000124102.4
ENSG00000158480.10
ENSG00000232855.6
ENSG00000218537.1
ENSG00000100060.17
ENSG00000144741.17
ENSG00000251459.1
ENSG00000109736.14
ENSG00000113456.18
ENSG00000244073.1
ENSG00000270177.1
ENSG00000254122.2
ENSG00000225415.2
ENSG00000273381.1
