ENSG00000225972.1
ENSG00000215875.4
ENSG00000234396.3
ENSG00000162591.15
ENSG00000130764.9
ENSG00000137975.7
ENSG00000226443.3
ENSG00000187017.15
ENSG00000196734.8
ENSG00000186844.5
ENSG00000235942.2
ENSG00000224259.6
ENSG00000157064.10
ENSG00000231084.2
ENSG00000009724.16
ENSG00000116857.16
ENSG00000117139.16
ENSG00000159388.5
ENSG00000227417.3
ENSG00000240710.1
ENSG00000117280.12
ENSG00000133065.10
ENSG00000196878.14
ENSG00000186063.12
ENSG00000135744.7
ENSG00000230325.1
ENSG00000284309.1
ENSG00000117758.13
ENSG00000142609.17
ENSG00000163867.16
ENSG00000185090.14
ENSG00000259943.1
ENSG00000186603.5
ENSG00000162377.5
ENSG00000203985.10
ENSG00000162398.11
ENSG00000224251.6
ENSG00000099250.17
ENSG00000273225.4
ENSG00000270025.2
ENSG00000138311.15
ENSG00000148719.14
ENSG00000122378.13
ENSG00000152766.5
ENSG00000277687.1
ENSG00000213574.2
ENSG00000107902.13
ENSG00000269915.1
ENSG00000123892.11
ENSG00000110628.13
ENSG00000179331.2
ENSG00000256091.1
ENSG00000177098.8
ENSG00000036672.15
ENSG00000151500.14
ENSG00000183303.2
ENSG00000133789.14
ENSG00000070081.15
ENSG00000019505.7
ENSG00000134575.9
ENSG00000186652.9
ENSG00000232987.1
ENSG00000250230.2
ENSG00000257086.1
ENSG00000255320.1
ENSG00000246174.7
ENSG00000254783.1
ENSG00000073614.12
ENSG00000255150.2
ENSG00000241680.1
ENSG00000186298.11
ENSG00000135148.11
ENSG00000158023.9
ENSG00000256250.1
ENSG00000256797.1
ENSG00000188393.8
ENSG00000172322.13
ENSG00000256667.6
ENSG00000084444.13
ENSG00000255968.1
ENSG00000165935.9
ENSG00000139116.18
ENSG00000276390.1
ENSG00000247853.2
ENSG00000170374.5
ENSG00000249641.2
ENSG00000139579.12
ENSG00000155957.17
ENSG00000180481.10
ENSG00000139324.11
ENSG00000136021.18
ENSG00000152213.3
ENSG00000136319.11
ENSG00000150527.16
ENSG00000139921.12
ENSG00000257365.7
ENSG00000259153.1
ENSG00000119686.9
ENSG00000089916.17
ENSG00000165914.14
ENSG00000165953.9
ENSG00000239269.1
ENSG00000196405.12
ENSG00000258404.1
ENSG00000131323.14
ENSG00000211947.2
ENSG00000261559.1
ENSG00000172575.11
ENSG00000261183.5
ENSG00000103932.11
ENSG00000168806.7
ENSG00000276533.1
ENSG00000259351.1
ENSG00000138604.9
ENSG00000178741.11
ENSG00000259420.5
ENSG00000172345.13
ENSG00000170776.21
ENSG00000140545.14
ENSG00000074071.14
ENSG00000008710.19
ENSG00000135709.12
ENSG00000260456.6
ENSG00000172460.15
ENSG00000263235.1
ENSG00000260488.1
ENSG00000259899.1
ENSG00000276564.1
ENSG00000214725.8
ENSG00000099365.10
ENSG00000091651.8
ENSG00000276663.1
ENSG00000141098.12
ENSG00000157353.16
ENSG00000171861.10
ENSG00000185924.6
ENSG00000182853.11
ENSG00000064195.7
ENSG00000263089.1
ENSG00000278627.1
ENSG00000266173.6
ENSG00000266820.1
ENSG00000266644.1
ENSG00000234899.9
ENSG00000161513.11
ENSG00000182938.4
ENSG00000167861.15
ENSG00000171246.5
ENSG00000169727.12
ENSG00000262251.1
ENSG00000263427.1
ENSG00000233670.6
ENSG00000226746.2
ENSG00000006125.17
